artist_name,genre,country,followers,monthly_listeners,verified,join_date
Artist_24577,R&B,IN,790768,1080587,False,2024-09-14
Artist_24578,Electronic,AU,4653247,465108,true,2023-02-14
Artist_24579,Rock,IN,2324908,55481,TRUE,2023-04-02
Artist_24580,Classical,FR,4691325,373026,yes,2021-06-25
Artist_24581,Rock,US,4859855,1827868,TRUE,2023-01-05
Artist_24582,Hip-Hop,IN,4259419,1794093,"",2023-08-26
Artist_24583,R&B,BR,1805726,713294,false,2023-04-18
Artist_24584,Hip-Hop,AU,971393,1005041,false,2022-10-10
Artist_24585,Classical,AU,254512,941859,true,2024-10-03
Artist_24586,Rock,US,NULL,923711,"",2021-03-18
Artist_24587,Hip-Hop,JP,4957766,1408309,"",2020-11-15
Artist_24588,Hip-Hop,BR,2749810,645310,False,2021-03-11
Artist_24589,Electronic,FR,3931271,1634936,False,2020-08-11
Artist_24590,Country,JP,1835871,15323,"",2020-05-16
Artist_24591,Rock,UK,3447058,1423982,true,2020-05-19
Artist_24592,Jazz,BR,86577,1327314,yes,2020-12-03
Artist_24593,Rock,UK,4610310,1439730,true,2024-12-14
Artist_24594,Electronic,UK,4871553,1548026,yes,2020-11-26
Artist_24595,Classical,FR,3030181,963531,false,2020-12-15
Artist_24596,R&B,US,4893307,1441018,"",2022-12-05
Artist_24597,Classical,FR,685522,1190772,TRUE,2020-11-04
Artist_24598,Classical,US,2998708,900913,TRUE,2020-02-18
Artist_24599,Electronic,JP,2908399,509574,yes,2021-04-10
Artist_24600,Hip-Hop,NG,3429045,361536,false,2023-03-14
Artist_24601,Hip-Hop,BR,3939842,1563864,False,2021-10-03
Artist_24602,Pop,BR,140662,1556297,False,2020-04-20
Artist_24603,Pop,FR,735415,568689,false,2021-02-17
Artist_24604,Country,UK,4509597,1075419,yes,2021-02-21
Artist_24605,Pop,AU,1253544,1232896,"",2022-06-04
Artist_24606,Classical,JP,1920685,130069,"",2020-12-26
Artist_24607,Country,UK,3648549,1920330,yes,2024-08-20
Artist_24608,Electronic,BR,NULL,1120819,False,2020-02-03
Artist_24609,Electronic,JP,3629020,280872,false,2023-09-13
Artist_24610,R&B,UK,1568929,1393678,false,2024-04-03
Artist_24611,R&B,JP,4645575,894450,False,2024-09-27
Artist_24612,Electronic,NG,3522875,1558532,false,2020-04-03
Artist_24613,Pop,NG,996848,4855,yes,2020-05-27
Artist_24614,R&B,UK,4814124,780921,yes,2021-02-21
Artist_24615,Hip-Hop,NG,254565,1722439,true,2023-05-01
Artist_24616,Country,JP,4202514,259633,"",2023-02-10
Artist_24617,Electronic,AU,3851183,1209264,False,2022-07-07
Artist_24618,R&B,IN,1566625,1296587,true,2024-11-24
Artist_24619,Pop,JP,456706,367726,true,2024-05-24
Artist_24620,Rock,BR,307765,865659,False,2022-06-18
Artist_24621,Jazz,BR,3975876,1795953,False,2020-07-13
Artist_24622,Electronic,BR,3111411,655380,False,2022-12-09
Artist_24623,Country,NG,2671945,353282,"",2021-07-14
Artist_24624,Rock,KR,1370143,1397629,yes,2021-02-20
Artist_24625,R&B,FR,347119,497376,true,2022-04-17
Artist_24626,R&B,AU,1957664,1646840,false,2020-10-27
Artist_24627,Country,NG,1897149,820722,yes,2021-06-10
Artist_24628,Classical,JP,782546,1790409,TRUE,2021-04-01
Artist_24629,Classical,DE,3597762,1263312,false,2022-03-05
Artist_24630,R&B,IN,1774227,1741980,TRUE,2021-01-04
Artist_24631,Electronic,DE,2894929,1123906,False,2022-12-22
Artist_24632,Country,BR,NULL,1781931,"",2021-02-21
Artist_24633,R&B,IN,307371,1129448,False,2020-04-02
Artist_24634,Classical,BR,2534774,981242,false,2022-04-24
Artist_24635,Country,KR,2875520,382733,yes,2021-06-20
Artist_24636,Jazz,DE,3153408,1557818,true,2021-09-26
Artist_24637,Electronic,JP,4974989,1509044,true,2023-12-15
Artist_24638,Electronic,FR,3188882,706941,yes,2024-03-01
Artist_24639,Jazz,JP,2299841,390356,yes,2024-08-06
Artist_24640,Classical,UK,3932373,1423872,yes,2023-09-23
Artist_24641,Pop,NG,2210905,1944597,true,2024-05-07
Artist_24642,Jazz,IN,4844719,736217,true,2024-05-28
Artist_24643,Jazz,AU,2953098,1898978,False,2021-12-09
Artist_24644,R&B,AU,4433900,711874,TRUE,2022-06-06
Artist_24645,Electronic,FR,2411800,141116,"",2021-02-25
Artist_24646,Jazz,DE,3593800,1105401,yes,2022-06-06
Artist_24647,Classical,AU,4819222,1410180,yes,2023-10-11
Artist_24648,Hip-Hop,JP,4949697,66719,yes,2020-07-28
Artist_24649,Country,JP,4409915,1226234,true,2020-06-10
Artist_24650,Electronic,KR,2791036,1258227,false,2024-06-20
Artist_24651,Electronic,DE,724572,1832504,false,2023-12-13
Artist_24652,Electronic,UK,323750,1141111,false,2020-06-04
Artist_24653,Pop,US,4344833,1877274,False,2020-02-17
Artist_24654,Pop,AU,4827773,396428,False,2024-03-03
Artist_24655,Pop,FR,1970307,123151,False,2020-07-19
Artist_24656,Hip-Hop,UK,1237545,1876138,false,2023-09-18
Artist_24657,Pop,KR,1861204,1661911,False,2024-11-07
Artist_24658,Classical,DE,2091337,1335795,"",2024-11-18
Artist_24659,Jazz,UK,1331118,1360838,False,2021-03-04
Artist_24660,Jazz,FR,3439480,1395279,true,2024-03-22
Artist_24661,Pop,JP,3296043,1463577,"",2021-01-18
Artist_24662,Rock,NG,810749,122334,yes,2022-03-12
Artist_24663,Country,DE,2341848,1803308,true,2024-07-24
Artist_24664,Hip-Hop,AU,1261749,1743174,yes,2020-01-08
Artist_24665,Country,DE,863901,390973,yes,2022-12-06
Artist_24666,Pop,KR,462164,684409,true,2020-10-22
Artist_24667,Country,AU,1272482,134355,true,2021-02-05
Artist_24668,R&B,JP,2422320,221842,yes,2020-03-11
Artist_24669,Country,UK,2921103,1980528,TRUE,2024-10-14
Artist_24670,R&B,AU,1821112,878293,TRUE,2024-05-02
Artist_24671,Pop,US,3990920,1473874,False,2023-01-06
Artist_24672,R&B,FR,3506744,301167,TRUE,2021-08-02
Artist_24673,Electronic,BR,3780777,1489494,yes,2024-11-28
Artist_24674,R&B,JP,1720648,1455272,"",2020-11-27
Artist_24675,Country,US,379199,1248450,yes,2022-03-10
Artist_24676,R&B,US,4819512,932148,false,2023-11-05
Artist_24677,Electronic,BR,4134921,672992,"",2023-02-27
Artist_24678,Hip-Hop,NG,1499549,634298,true,2021-06-27
Artist_24679,Country,IN,2903189,899377,true,2021-04-18
Artist_24680,Country,BR,643903,194552,false,2021-10-11
Artist_24681,Hip-Hop,AU,1596457,783323,false,2021-01-25
Artist_24682,Country,IN,4797143,673494,false,2024-01-14
Artist_24683,R&B,JP,2800216,377204,"",2024-01-28
Artist_24684,Country,FR,2330129,112526,yes,2024-09-15
Artist_24685,Rock,US,3640431,1154896,False,2020-10-23
Artist_24686,Electronic,UK,4814142,1519256,false,2022-01-24
Artist_24687,Country,IN,1685160,216051,TRUE,2023-08-23
Artist_24688,Country,DE,3310941,1978507,TRUE,2024-01-15
Artist_24689,Hip-Hop,BR,3542747,1379873,False,2022-06-02
